id,language,code,error_message,error_category,error_type,concept,difficulty,expected_output,actual_output,explanation,suggested_fix,keywords
1,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Python syntax rules"
2,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The operation combines values whose data types are not compatible.,Convert the values to compatible data types before applying the operation.,"Syntax Error, Strings and quotation marks"
3,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The condition produces an incorrect result for the intended logic.,Review the condition so it matches the intended requirement.,"Syntax Error, Python syntax rules"
4,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Python syntax rules"
5,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Python syntax rules,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The negative index is outside the valid range.,Use a valid negative index within the list length.,"Syntax Error, Python syntax rules"
6,Python,"numbers = [1, 2, 3",Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The requested index is outside the list range.,Use an index within the valid range of the list.,"Syntax Error, Parentheses and brackets"
7,Python,for i in range(5) print(i),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Colons and block syntax,Intermediate,Valid program output,Program cannot run because Python syntax is invalid.,The code uses a variable that has not been defined.,Check that the variable is defined before use.,"Syntax Error, Colons and block syntax"
8,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Parentheses and brackets"
9,Python,if x > 5 print(x),Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Strings and quotation marks,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The statement inside the block is not indented.,Indent the statement inside the if block.,"Syntax Error, Strings and quotation marks"
10,Python,name = 'Safa,Program cannot run because Python syntax is invalid.,Syntax Error,Invalid Python syntax,Parentheses and brackets,Beginner,Valid program output,Program cannot run because Python syntax is invalid.,The variable name used in print does not match the declared variable.,Use the exact variable name that was declared.,"Syntax Error, Parentheses and brackets"
